Hypertension     , Hyperlipidemia         , 21.5
Hypertension     , Arthritis              ,  7.6
Hypertension     , Diabetes               ,  7.5
Hypertension     , HIV                    ,  4.8
Hypertension     , Ischemic Heart Disease ,  3.7
Diabetes         , Arthritis              ,  2.5
Dyslipidemia     , Hyperuricemia          , 26.2
Dyslipidemia     , Hypertension           , 24.9
Depression       , Hypertension           , 37.3
Depression       , Arthritis              , 55.6
Depression       , Diabetes               , 23.2
Depression       , COPD/Asthma            , 23.3
Depression       , Heart Disease          , 27.6
Dementia         , Hypertension           , 37.1
Osteoarthritis   , Hypertension           , 19.8
Diabetes Mellitus, Stroke                 ,  2.9
Cancer           , Depression             , 10.9
Cancer           , Diabetes               ,  2.7
Hypertension     , Musculoskeletal Disease, 11.5
Hypertension     , Diabetes \& Arthritis  , 11.5
Hypertension     , Osteoarthritis         , 20.1
Hypertension     , Coronary Artery Disease, 14.9
Hypertension     , Diabetes               , 14.0
Hypertension     , Stroke                 ,  2.9
Hypertension     , Cancer                 , 10.6
Hypertension     , Dementia               ,  5.5