"Disease Combination","Population/Study Context","Notable Insights"
"Hypertension + Hyperlipidemia","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.953886/full","Most prevalent combination; often co-treated"
"Diabetes + Hypertension","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.953886/full","Strongly associated; common in cardio-metabolic clusters"
"Arthritis + Hypertension","https://journals.sagepub.com/doi/full/10.1177/26335565241258851","Frequently reported, especially in older adults"
"Hypertension + Overweight","https://journals.sagepub.com/doi/full/10.1177/26335565241258851","Common dyad in epidemiological studies"
"Cardiovascular Disease + Heart Failure","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.953886/full","Highest lift (co-occurrence much higher than expected)"
"Diabetes + Asthma/COPD + Arthritis","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.953886/full","Triad most associated with perceived poor health"
"Acid Peptic Disease + Arthritis","https://journals.sagepub.com/doi/full/10.1177/26335565241258851","Most common dyad among young men"
"Acid Peptic Disease + Hypertension","https://journals.sagepub.com/doi/full/10.1177/26335565241258851","Most common dyad among women"
"Hypertension + Chronic Lung Disease/Arthritis/Visual Difficulty","https://journals.sagepub.com/doi/full/10.1177/26335565241258851","Age-related clustering"
"Chronic Kidney Disease + Diabetes + Hypertension","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.953886/full","Classic metabolic syndrome cluster"
"Stroke + Hypertension + Diabetes","https://www.nature.com/articles/s43856-024-00529-4","Found in metabolic and cardiovascular clusters"