"No.","Disease 1","Disease 2","Prevalence (%)","Reference Link"
"1","Cancer","Arthritis","2.2","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"2","Cardiovascular Disease","Arthritis","2.2","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"3","Diabetes","Arthritis","2.2","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"4","Cancer","Cardiovascular Disease","1.6","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"5","Cancer","Diabetes","1.2","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"6","Cardiovascular Disease","Diabetes","1.1","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"7","Cancer","COPD","0.8","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"8","Cardiovascular Disease","COPD","0.7","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"9","Diabetes","COPD","0.7","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"10","Arthritis","COPD","0.7","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"11","Cancer","Arthritis + Diabetes","0.5","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"12","Cardiovascular Disease","Arthritis + Diabetes","0.5","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"13","Cancer","Cardiovascular Disease + Diabetes","0.4","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"14","Cancer","Cardiovascular Disease + Arthritis","0.4","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"15","Cardiovascular Disease","Diabetes + COPD","0.3","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"16","Cancer","Diabetes + COPD","0.3","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"17","Cancer","Arthritis + COPD","0.3","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"18","Diabetes","Arthritis + COPD","0.3","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"19","Cardiovascular Disease","Arthritis + COPD","0.3","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"20","Arthritis","Diabetes + COPD","0.3","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"21","Cancer","Cardiovascular Disease + COPD","0.2","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"22","Diabetes","Cardiovascular Disease + COPD","0.2","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"23","Arthritis","Cardiovascular Disease + COPD","0.2","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"24","Arthritis","Cancer + Diabetes","0.2","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"25","Arthritis","Cancer + Cardiovascular Disease","0.2","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"26","Diabetes","Cancer + Cardiovascular Disease","0.2","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"27","Arthritis","Cancer + COPD","0.2","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"28","Arthritis","Diabetes + Cardiovascular Disease","0.2","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"29","Diabetes","Arthritis + Cardiovascular Disease","0.2","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"30","Cancer","Arthritis + Cardiovascular Disease + Diabetes","0.1","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"31","Cardiovascular Disease","Arthritis + Diabetes + COPD","0.1","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"32","Cancer","Arthritis + Diabetes + COPD","0.1","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"33","Cancer","Cardiovascular Disease + Diabetes + COPD","0.1","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"34","Arthritis","Cancer + Diabetes + COPD","0.1","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"35","Cancer","Arthritis + Cardiovascular Disease + COPD","0.1","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"36","Arthritis","Cancer + Cardiovascular Disease + COPD","0.1","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"37","Diabetes","Cancer + Cardiovascular Disease + COPD","0.1","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"38","Arthritis","Cardiovascular Disease + Diabetes + COPD","0.1","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"39","Cancer","Arthritis + Diabetes + Cardiovascular Disease + COPD","<0.1","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"40","Diabetes","Arthritis + Diabetes + Cardiovascular Disease + COPD","<0.1","https://www.cdc.gov/pcd/issues/2013/12_0316.htm"
"...","...","...","...","..."