"No.","Disease 1","Disease 2"
"1","Hypertension","Diabetes"
"2","Hypertension","Hyperlipidemia"
"3","Hypertension","Obesity"
"4","Hypertension","Chronic Kidney Disease"
"5","Hypertension","Heart Failure"
"6","Hypertension","Coronary Artery Disease"
"7","Hypertension","Stroke"
"8","Hypertension","Atrial Fibrillation"
"9","Hypertension","Arthritis"
"10","Hypertension","Depression"
"11","Diabetes","Hyperlipidemia"
"12","Diabetes","Obesity"
"13","Diabetes","Chronic Kidney Disease"
"14","Diabetes","Coronary Artery Disease"
"15","Diabetes","Retinopathy"
"16","Diabetes","Neuropathy"
"17","Diabetes","Depression"
"18","Diabetes","Arthritis"
"19","Diabetes","Heart Failure"
"20","Diabetes","Stroke"
"21","Obesity","Hyperlipidemia"
"22","Obesity","Sleep Apnea"
"23","Obesity","Osteoarthritis"
"24","Obesity","Fatty Liver Disease"
"25","Obesity","GERD"
"26","Obesity","Depression"
"27","Obesity","Asthma"
"28","Obesity","Polycystic Ovary Syndrome"
"29","Obesity","Hypertension"
"30","Obesity","Diabetes"
"31","COPD","Heart Failure"
"32","COPD","Coronary Artery Disease"
"33","COPD","Depression"
"34","COPD","Lung Cancer"
"35","COPD","Osteoporosis"
"36","COPD","Hypertension"
"37","COPD","Diabetes"
"38","Asthma","Allergic Rhinitis"
"39","Asthma","Eczema"
"40","Asthma","Depression"
"41","Asthma","GERD"
"42","Asthma","Obesity"
"43","Asthma","Anxiety"
"44","Asthma","Sleep Apnea"
"45","Asthma","Sinusitis"
"46","Heart Failure","Chronic Kidney Disease"
"47","Heart Failure","Atrial Fibrillation"
"48","Heart Failure","Diabetes"
"49","Heart Failure","Hypertension"
"50","Heart Failure","COPD"
"51","Coronary Artery Disease","Diabetes"
"52","Coronary Artery Disease","Hypertension"
"53","Coronary Artery Disease","Hyperlipidemia"
"54","Coronary Artery Disease","Chronic Kidney Disease"
"55","Coronary Artery Disease","Depression"
"56","Stroke","Hypertension"
"57","Stroke","Diabetes"
"58","Stroke","Atrial Fibrillation"
"59","Stroke","Hyperlipidemia"
"60","Stroke","Depression"
"61","Chronic Kidney Disease","Hypertension"
"62","Chronic Kidney Disease","Diabetes"
"63","Chronic Kidney Disease","Heart Failure"
"64","Chronic Kidney Disease","Anemia"
"65","Chronic Kidney Disease","Hyperparathyroidism"
"66","Chronic Kidney Disease","Gout"
"67","Osteoarthritis","Obesity"
"68","Osteoarthritis","Hypertension"
"69","Osteoarthritis","Diabetes"
"70","Osteoarthritis","Depression"
"71","Rheumatoid Arthritis","Osteoporosis"
"72","Rheumatoid Arthritis","Cardiovascular Disease"
"73","Rheumatoid Arthritis","Depression"
"74","Rheumatoid Arthritis","Interstitial Lung Disease"
"75","Rheumatoid Arthritis","Sjögren’s Syndrome"
"76","Depression","Anxiety"
"77","Depression","Insomnia"
"78","Depression","Chronic Pain"
"79","Depression","Diabetes"
"80","Depression","Heart Disease"
"81","Anxiety","Insomnia"
"82","Anxiety","Migraine"
"83","Anxiety","Asthma"
"84","Anxiety","Irritable Bowel Syndrome"
"85","Anxiety","Depression"
"86","Epilepsy","Depression"
"87","Epilepsy","Migraine"
"88","Epilepsy","Anxiety"
"89","Epilepsy","Intellectual Disability"
"90","Migraine","Depression"
"91","Migraine","Anxiety"
"92","Migraine","Irritable Bowel Syndrome"
"93","Migraine","Asthma"
"94","Migraine","Fibromyalgia"
"95","Fibromyalgia","Depression"
"96","Fibromyalgia","Chronic Fatigue Syndrome"
"97","Fibromyalgia","Irritable Bowel Syndrome"
"98","Fibromyalgia","Anxiety"
"99","Fibromyalgia","Migraine"
"100","Chronic Pain","Depression"